label,text
4,what if you get paid on every little blog you write and what if we soon will have a software who will write for you easy for life 
4, tanx for really introducing me to your many friends henry hugs hugs 
4, welcome to twitter 
0, will the album be on itunes at midnight also my cd wont come for another week haha
4, you can adjust days in week hours in day easily enough sun won t agree but that s just tough for the sun 
4, ahahaha yeh dude i ll be sure to check it out and see whether i like it or not 
4, target raised just in time going to race now wish me luck 
0,going to see up today without my jasmine she s too busy commuting to the desert lands 
4, say hi to everyone in seattle wish i could be there too last year was brilliant have fun 
0,still in bed watching the real housewives of new jersey for the th time lol back still hurts and the pain just keeps coming 
4,off work sleepy time stoked for bahamas on weds with tonya 
4,watch out coming soon tweetbreak on channel courtesy of btw how about questions from knesset 
0, to bad i was still sleeping off all the damn booze i decided to drink on sat otherwise i would have been too 
4,another wonderful end to a great day fruitful conversation with just made my night thanks danz night tweeps 
4, man that really sucks atleast you re ok 
4, having itunes for me is a requirement 
0,em has been sick lately but today has been bad we are at hospital now waiting for more test results 
4, i love you your tweets always make my day 
0, im still mildly contagious so im not sure if going to hell is a good idea 
0, what you re engaged and no clenching life ain t fair 
0, awesome and readable yes too bad my resolution cuts sheldon 
4, i find that my job would be much easier if there weren t other people working here full stop less interesting but easier 
0, i want to cruise w u next yr but not sure the hubby as supportive as he is will be ok with the time and 
0, ya las vi estan dem feas solo the new severity esta cool omg next
0,photo what can i say i m an addict 
0,cara having a hissy fit right this second nina when you read this message text me i need to talk to you l ahhhh im about to cry l
4,quite happy today for some reason despite huge workload next few weeks perhaps because of huge workload i m twisted like that fb
0,was trying to give violette one more chance but everything turns to potpourri on my skin really not good perfume
0, yay steal me some sa oh wait 
4,if he has a twitter i wonder if they let gay guys have them oops sorry perez hilton elliebadge 
0, it s so sick i m fed up of them 
0, now i wish i was going to sac anime 
0,marley and me was so sad me and quazi had a hard time at the ending but we made it through with only watery eyes no crying gnight
4,about to ride mr freeze 
4,just got back from lunch it s lonley here 
0,working on my internship file got my presentation tomorrow have to soooo much in it will cost me the whole day 
4,followfriday another wonderful woman from chicago great links smart and engages you with smart links 
0, even though you drink and think it is cool 
4,bout half way done packing gonna be a long ride thanks for the sketch hanna 
0, and me 
0, cause thats how we are feeling glad i m not the only one 
4,anyone wanna rub my back play with my hair while i fall asleep i ll reward you by cuddling close so you can wrap your arms around me 
4, you were awesome in mamma mia i love the movie and broadway show 
4, convicts where s mick marlborough when i need him 
4,downloaded twitterberry for my blackberry to keep things updated 
4, which episode have you just watched was it the miles one 
4, i ve been good can t wait to head back to europe change of scenery 
0,is very hurt by a friend well someone whos supposed to be 
0,yesterday went fast today is going faster that means tomorrow is gonna fly 
0,here we go flaming unrecognised transaction on my bank account 
0, lmfao aww well to stay in the buisness i have to have my orders in by july 
4,its that time of the day when i have gone brain dead time to pack up and head home for the day 
4, hehe dont be too happy yet he ll wake you up early again 
0,anyone know of a giveaway for the forest of hands and teeth i really want this one and i m broke as a joke atm 
4,house cleaning day enjoying some great music while cleaning with all the windows open i love spring 
4,just got home from ladies conference night one wonderfull night 
4,and my brother well let me just tell you my brother well what can you do you can t pick your family bahaha i love this episode 
0,off to work ugh 
4,ham zarif came over my house just now 
0,goodbye manhattan hello queens on my way to the airport 
0,my mom cleaned a lot of my room which i appreciate but she also rearranged a lot of it that i didn t want moved i feel bad moving it back
0,is wondering why you have been on my mind all day 
0,i m sad becuase my baby is leaving tomorrow 
0,on my break at work start ddnt gt home lat nite dam tired man 
0, naw its been alil messed up night 
4, old interview with torri higginson but its still nice watch her 
0,i have a sore froat but i will live 
4,i am trying to not get used to hour work days lord bless me and provide for me 
0,lovin my life rite now p missin rudy sad dat he may not got to teague 
0, hmmm if it s not at pm am california time we might have to wait till am that s am california time 
0,still trying to learn how to post pictures not easy from my phone have some nice pictures taken while riding hope to post soon 
4,mitchel s songs i like them 
0, oh well i think our grandparents will slaughter us if they find out 
4,wow i am sooo tired in a happy mood wierd
4, we do seem to have that sorted here in the uk there must be something like shiply com in us 
0, hey u i txt ya earluer but no reply im goin out with lweis reed a few drinks moro afternoon bout do u wana join x
4, follow me on twitter 
0, baker s square is always tasty it was just me my mom and debbie rebekah met us at the theater sorry you guys missed it 
0, i m heeeeere walla bes i am so preoccupied i m sorryyy i love you guys 
0,only one episode of dollhouse left to go after that we ll have to wait till the dvd comes out to see the th and then any info 
0, thanks i ll check it out no millions here 
4,ima miss my roomie but if i ever decide to fuck again i can be extra loud 
0, i dont have tht option not yet im on my dad s for now his is older so maybe thats why i dont have the option 
4,is happy there s hairspray on tv again i loove that movie i but i watch it just um times xd 
0,ie bug fixing on a saturday afternoon can anyone help with this neg margin floating bug 
0,my tweetdeck is frozen 
0,passed on going to lilac fest to work 
4,ok since twitter sucks i m gonna just tweet myself 
4,i wouldn t be able to make it with out this one person happy mother s day mommy 
0,it s the way things go sometimes 
0,ajd wish i were there get on that ride for me tho lol you know that s my jump off 
0, yeah we paid on thursday now they are up over for same days 
0, oh god i feel the same way about ghostbusters 
0,i m a selfish idiot i ve managed to do some stupid things this weekend i m just sorry 
0,aughh drop by newsunseo com
0, big brother quiz what i m too busy rocking out on guitar hero i didn t notice any such thing 
4, heyy hope you feel better 
4, good luck girlie i had week to find buy a house my last move understand a bit stressful did u find any cool ones 
0,is lonely and some what sad confused 
4, thanks replacement disc arrived just now have checked it front back 
0, nuts and unfortunately it s usually too hard to hide because of the smell ah well there s always chocolate 
4, haha i m near enough to be glowing green for a reasonable amount of time ain t too bad let s just hope we ll turn into hulks 
0,yes the seattle police department responded to my call sadly the car is still there but my nasty note was removed 
0,watching a scary movie 
0, not going to canada 
4, luv it are they on cds yet i need them for socal this weekend having a massive party on the boat why aren t u out 
0, he tried to follow you but he can t from his phone 
4,i forgot what a cool weird movie velvet goldmine is so many great actors 
0,i ve found a very pretty dress but the company only ships to the usa i m gutted 
0,is late for work 
4,yay i have ordered jb s new cd now 
0, this is really awesome kudos adobe love the onion skin mode miss some browsers though browserlab
4,just said good night to the best fran 
4,i was in theater yesterday abig l is a really good musical not as good as elisabeth but see it everybody 
4, i m already caught up on dexter d i can t wait for season i already know a spoiler 
0, i got some pasta rigati if ur were in the area
4,almost off work i have to help a friend set up a new computer then i m off for the weekend 
0, no i didn t nick came out we spoke for abit photo time then we noticed the time had to leave before he got a chance
0,i think i m coming down with the flu not cool 
0,is wonderin how u write omebody bc i cant figure it out help plz 
4,i watch videos on youtube 
0, i was hoping to catch the sun today self tan tonight again me thinks 
4, fun fact a lot of girls from my old school are going to be there 
0,has excrutiating back pain from some of the stuff that happened at the hospital friday its awful 
0,whoohoo now i have really holidayss but my stomach hurtss i m now gonna watch sonnywithachance hannahmontana jonas much more eps 
0,stuck in lauflin i never come here ifit wasn t for work in bullhead city az 
4,the future is brrrright 
4, i shall celebrate for you 
4,greeting again every momma happy momma s day 
0,god june already bloomin christmas soon haha wen i sed that to my mum i got a few funni looks haha
4,listening to fly with me by the one the only jonas brothers 
0,i am trying this again yesterday s update didn t work 
0,my girlfriend just got a freezepop for just herself way to think about 
0, taa m dear the forum chatroom isn t working for me at the moment 
0,on train to torquay want to nap but is not happening 
0, no refunds in il 
0,last night was ok made me realize how much i miss camping tonight is already a flop though 
4,blah morning talking to her though so its getting better 
4,got a sham wow 
0, and to charge it before he gets home turns and back off 
0, makes me lose hope for the future quite frankly 
4,up for another secret agent audition i m sensing a new type 
0, no men in suits unfortunately 
4,haha just took the last beer i hope me and him go away 
0, how come no reply back tila 
0,i so wanted er at wrk today sprint employees know what i am talking about 
4, she s going to be darla belle 
0,hates being home again 
4, i m looking at lenses been promised a new one for my b day 
0,i crashed like a zombie after we ate chinese now i don t know if i can fall back asleep i hate when this happens 
0,missed the state of origin game and never went to auscham mango curry on the cards at home 
0,damn i think they re spam people 
4, i think i did inshallah thanx for askin
